"username","workspace_title","api_token_name","usage_duration_in_ms","usage_started_at","service_name","service_cost_per_ms"
"demo1","My App","production","38","2023-07-01 12:31:48","Service #1","0.001500"
"demo1","My App","production","36","2023-07-02 01:43:17","Service #1","0.001500"
"demo1","My App","production","38","2023-07-02 12:36:12","Service #1","0.001500"
"demo1","My App","production","36","2023-07-03 01:54:02","Service #1","0.001500"
"demo1","My App","production","38","2023-07-03 08:34:24","Service #1","0.001500"
"demo1","My App","production","39","2023-07-03 19:21:00","Service #1","0.001500"
"demo1","My App","production","39","2023-07-04 00:52:59","Service #1","0.001500"
"demo1","My App","production","36","2023-07-04 14:54:21","Service #1","0.001500"
"demo1","My App","production","39","2023-07-04 18:25:28","Service #1","0.001500"
"demo1","My App","production","38","2023-07-05 09:47:05","Service #1","0.001500"
"demo1","My App","production","37","2023-07-05 10:45:33","Service #1","0.001500"
"demo1","My App","production","37","2023-07-05 23:18:46","Service #1","0.001500"
"demo1","My App","production","36","2023-07-06 01:07:11","Service #1","0.001500"
"demo1","My App","production","37","2023-07-06 10:03:32","Service #1","0.001500"
"demo1","My App","production","38","2023-07-06 21:00:55","Service #1","0.001500"
"demo1","My App","production","38","2023-07-07 00:46:37","Service #1","0.001500"
"demo1","My App","production","38","2023-07-07 14:13:47","Service #1","0.001500"
"demo1","My App","production","39","2023-07-08 03:31:04","Service #1","0.001500"
"demo1","My App","production","38","2023-07-08 10:53:46","Service #1","0.001500"
"demo1","My App","production","36","2023-07-08 19:25:26","Service #1","0.001500"
"demo1","My App","production","38","2023-07-08 20:12:54","Service #1","0.001500"
"demo1","My App","production","36","2023-07-09 02:40:36","Service #1","0.001500"
"demo1","My App","production","36","2023-07-09 03:33:45","Service #1","0.001500"
"demo1","My App","production","35","2023-07-09 04:15:18","Service #1","0.001500"
"demo1","My App","production","38","2023-07-09 12:57:03","Service #1","0.001500"
"demo1","My App","production","37","2023-07-09 22:32:25","Service #1","0.001500"
"demo1","My App","production","39","2023-07-10 13:25:13","Service #1","0.001500"
"demo1","My App","production","37","2023-07-10 21:01:00","Service #1","0.001500"
"demo1","My App","production","35","2023-07-11 08:41:27","Service #1","0.001500"
"demo1","My App","production","37","2023-07-11 18:09:11","Service #1","0.001500"
"demo1","My App","production","38","2023-07-12 02:00:39","Service #1","0.001500"
"demo1","My App","production","38","2023-07-12 06:40:13","Service #1","0.001500"
"demo1","My App","production","39","2023-07-12 16:27:25","Service #1","0.001500"
"demo1","My App","production","39","2023-07-13 05:38:15","Service #1","0.001500"
"demo1","My App","production","39","2023-07-13 06:45:52","Service #1","0.001500"
"demo1","My App","production","38","2023-07-13 12:23:03","Service #1","0.001500"
"demo1","My App","production","39","2023-07-14 03:33:35","Service #1","0.001500"
"demo1","My App","production","35","2023-07-14 15:21:23","Service #1","0.001500"
"demo1","My App","production","36","2023-07-15 00:42:34","Service #1","0.001500"
"demo1","My App","production","37","2023-07-15 05:08:06","Service #1","0.001500"
"demo1","My App","production","5","2023-07-15 06:29:00","Service #1","0.001500"
